job_id,dataset_hash,task,best_model,metric,desired_metric,profile
4bececabd6164b8a906c9117f61822dd,,,,-0.0,,full
f4f4a75471004bb38bbbb3d0f5acedfc,,,,-0.0,,full
952effccfa19411f9905c7a6b5b8b218,,,,-0.0,,full
66a149aae70f4234afc65c147de34e74,,,,-0.0,,full
d75ceeafd25e4fda8974dc6b75356e79,,,,-0.0,,full
66e148629ad74e06a417f2955051cdd5,,,,-0.0,,full
df6a6148e8fd4ef1890af37a593a252e,,,,-0.0,,full
3df57ff64d8a4247b2f893e108f2cccf,,,,-0.0,,full
1498490176a74960bfcc9b14aa69452d,,,,-0.0,,full
2e5034bacd9548a19b9d5c58fbcc22ac,,,,-0.0,,full
d33e5728656b47ac97bc6a56ce8dccbd,,,,-0.0,,full
2c55370bdab648b7bf71b4a727580a77,,,,-0.0,,full
5a24256b600b41678f2c0d7d181f13e1,,,,-0.0,,full
36217ba90f254a7092848f28c287e8eb,,,,-0.0,,full
6c8dbb46db9244bd84aa5aff6c4d2598,,,,-0.0,,full
38fe30dee5a14403825119974f33ec5d,,,,-0.0,,full
f5e38e1e238d4280bc4024eb77f36988,,,,-0.0,,full
a7e0a47cb13e4da9954ce3d46a23d023,,,,-0.0,,full
af7d3d549bcf4a62985ef96227976e5b,,,,-0.0,,full
87dc7a51c0ea4a9e8dfd584e84dc33c4,,,,-0.0,,full
73989c6ca0ff427d9797cd116e1090a3,,,,-0.0,,full
c3c1e1f111ac47abb792d00c2ae48306,,,,-0.0,,full
21037105071449c888d2aa2c5754d2a9,,,,-0.0,,full
d4b4573bcae143698104dd4b9ee04fe5,,,,-0.0,,full
fee9772f795e47e89528febacd098400,,,,-0.0,,full
eb03160b0f7644b0883fb4b32fe98607,,,,-0.0,,full
d7277bce6f2c4f648b0dedcc5d85d76a,,,,-0.0,,full
93040e55c1e74b01a210dfa3b0bfde7e,,,,-0.0,,full
835190c831df44378f33593c2c44dbfa,,,,-0.0,,full
903eb588d7db4837886179f253f66a24,,,,-0.0,,full
e40fceb949de4de5952c7c468b71233c,,,,-0.0,,full
8c9da1b8181d4b5abaadc7ba932e72a7,,,,-0.0,,full
9e190267924542bb94490201c0f9ceef,,,,-0.0,,full
56049211c82f438caf110376c8aebc60,,,,-0.0,,full
693f13d19ef94c16930f2a4934b6df53,,,,-0.0,,lean
3bcea13527024e92926104f4f9d20acf,,,,-0.0,,lean
7e917d90192d418ea935a81ec2342d5a,,,,-0.0,,full
e33da9ca767646d896cebc2eb188f9ac,,,,-0.0,,full
ca00b7cae2e4497dbbf97a8a128bcf8c,,,,-0.0,,full
c6e09d63a7454dac80fd9864d168272b,,,,-0.0,,full
db5b01e2f1924c519b2a211fdd3b379c,,,,-0.0,,full
18eee7289eaa4a39ba2965c9cca3450f,,,,-0.0,,full
c829deee37ce4388893f2a8013764cc2,,,,-0.0,,full
9567507802d44b1fa2725f6add4c37f4,,,,-0.0,,lean
c98ed86bef724e0582b991d439de4b71,,,,-0.0,,lean
430babb1e1454336a28d08c10476c447,,,,-0.0,,full
5ec5adaec8f44628a33fbcc9b59e8237,,,,-0.0,,full
9f7a96a2d8804af79e47826c7ef7f51d,,,,-0.0,,full
e54a4e3bd17341059cce553da665a6eb,,,,-0.0,,full
93e1c9aefe7c4a41b1f30c98dc949950,,,,-0.0,,full
1984fbb164d7427bbffe388f061aa1e8,,,,-0.0,,full
e7a83ba7730c4e4faa760d5905b9ea22,,,,-0.0,,full
a337d34e0d5140aea191737957bba32f,,,,-0.0,,lean
550147766c7742bda2151aa1e0f9594b,,,,-0.0,,lean
54c2af901cb043939294fd8ebaf32dde,,,,-0.0,,full
d254dddc493d45df8cfda91bd4864cf5,,,,-0.0,,full
b9379958f7f24932874c04dff661b773,,,,-0.0,,full
ea8c690fdfce48e4a7b5cded139081a5,,,,-0.0,,full
96711f10f3974dbd9fa8c896b6b7da4d,,,,-0.0,,full
89fea01ced564c3f8b84101b1701981a,,,,-0.0,,full
0ba53a065836474891a8835e972f7cf1,,,,-0.0,,full
f710e22250174b76a429c17edc50edbe,,,,-0.0,,lean
b392b5f556274ab7999c31ce817fcfe5,,,,-0.0,,lean
fdcc7d477e8e41dca9a1d044a3b26629,,,,-0.0,,full
93d59ea3f9ed401d9ae90d56fecf68b7,,,,-0.0,,full
7445c9a1453d4b178f63c1e9b7fb7615,,,,-0.0,,full
a6b3e30239c44cacac27a4f89cad2d12,,,,-0.0,,full
14308a215f124adfb844c3443f5add8b,,,,-0.0,,full
7a715c7e836e440c8d59f3b4039fb3f0,,,,-0.0,,full
4c744ff97a2e41e0a1de8336ca77934f,,,,-0.0,,full
99fb75c6329c4f9aadcf0525cf63825e,,,,-0.0,,lean
adadff4bf7284200b44bb02593f881ab,,,,-0.0,,lean
1d459f10821446deb06b7610a4ae9b79,,,,-0.0,,full
6f19abb835eb4b378bf59f336fb48e47,,,,-0.0,,full
7d8bdf75bded4cbf9136badc9dfc4c14,,,,-0.0,,full
5e2131c0b90b48e39afcf2cd897986b2,,,,-0.0,,full
6b9ba64e65184048a494e4bad3c53576,,,,-0.0,,full
64f7ca012a79410093329b0339489498,,,,-0.0,,full
e3a1c78cfc344bb9a42bfa5eed9f04d3,,,,-0.0,,full
45ee834622b94c059a8d323b4d3feda3,,,,-0.0,,lean
138cb017768945cb89d92ac8eec72ce6,,,,-0.0,,lean
4d48c49eb2ad43428a85ff23ae829eb1,,,,-0.0,,full
